"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"IT-402-1480-P00001480 - AWARD",Contract,"West Berkshire Council",Awarded,2025-01-17T15:46:39Z,"Valuation of WBC Properties for Insurance Purposes - AWARD","Currently we have a 5 year rolling programme of insurance valuations for all the Council's properties which is coming to an end. We now wish to procure a company to carry out a 5-year programme of rolling insurance valuations with approximately 20% valued each year. In 2018 West Berkshire Council commenced the acquisition of a commercial Property Investment Portfolio which currently comprises of eight investment properties scattered geographically across the UK (though it is envisaged to dispose of these over the course of this contract). In addition, the council owns two small industrial estates and six stand-alone properties locally that are also categorised as investment properties. The council also owns approximately 300 operational properties including community centres, schools, libraries, toilets, caretakers and homeless persons residential accommodation, farms, etc.",,"RG14 5LD","Any region","66000000 ","Antony  Milton",Antony.Milton1@westberks.gov.uk,"Market Street",Newbury,Berkshire,"RG14 5LD","United Kingdom",0441635519129,,,,,06/01/2025,05/01/2030,09/12/2024,NO,,No,No,No,Services,0,0,23/12/2024,36200,"[Wilks Head & Eve LLP|3rd Floor, 55 New Oxford Street, London, United Kingdom, WC1A 1HB|NONE||No|No]",,06/01/2025,05/01/2030,"Restricted ",,13:00
"IT-402-1515-P00001515 - AWARD",Contract,"West Berkshire Council",Awarded,2025-08-27T10:09:57+01:00,"EMAIL NEWSLETTER SOFTWARE  - AWARD","West Berkshire Council uses email marketing software to issue newsletters and some service delivery information to residents, businesses and other stakeholders - keeping them informed about the Council's services, decisions and events. This is used by the Communications team and by services across the organisation. The licence agreement for the current software ends in 2025 and a provider needs to be identified to ensure this functionality continues to be available in support of the Council's ongoing communications and engagement with residents.",,"RG14 5LD","Any region","48811000 ","Martin Dunscombe",Martin.Dunscombe@westberks.gov.uk,Newbury,"West Berkshire",Newbury,"RG14 5LD","United Kingdom","01635 519125",,,,,10/03/2025,09/03/2029,20/01/2025,NO,,No,No,No,Services,33700,63700,09/03/2029,63700,"[Forfront Ltd|Global House, 1 Ashley Avenue, Epsom, Surrey, United Kingdom, KT18 5AD|NONE||No|No]",,10/03/2025,09/03/2029,"Restricted ",,14:00
P00001439,Contract,"West Berkshire Council",Awarded,2024-10-28T14:54:54Z,"Playing Pitch Strategy Refresh and Masterplanning of Henwick Worthy Sports Ground","West Berkshire Council is looking to commission a Provider to:
•	Conduct a full refresh of the Council's Playing Pitch Strategy (PPS) in line with Sport England requirements.
•	Produce a Masterplan of Henwick Worthing Playing Field to be included as part of the scope of the Playing Pitch Strategy review.
The anticipated value of the services is approximately £49,999 over the full contract term (approximately October 2024 - April 2025).  

For access to the tender documentation and to submit a bid please register as a supplier on our E-procurement portal:  https://in-tendhost.co.uk/westberks/aspx/Home",,"RG14 5LD",,"73200000 92600000 ","Emma Richardson",emma.richardson1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,01635503434,https://in-tendhost.co.uk/westberks/aspx/Home,,,,14/10/2024,30/04/2025,02/10/2024,NO,,Yes,No,No,Services,0,49999,28/10/2024,49883.93,"[Stuart Todd Associates|7 Castle Street
Bridgwater
Somerset
TA6 3DT|COMPANIES_HOUSE|08284517|Yes|No]",,31/10/2024,01/05/2025,"OpenNonOJEU ",,17:00
"IT-402-978-P00000978 - AWARD",Contract,"West Berkshire Council",Awarded,2025-02-11T13:35:39Z,"Provision of a Care and Support Service  - Extra Care Housing - AWARD","Extra care housing is designed with the needs of people whose disabilities, frailty, vulnerability or health needs make ordinary housing unsuitable, but who do not need to or want to move to long term residential care. Older people make up the majority of tenants in WBC Extra care housing schemes although there are some vulnerable younger adults that benefit from living in the schemes.
      
      Extra care housing should provide a real alternative to a residential care home provision and or unsuitable housing and should be seen as a home for life. It provides accommodation that has sufficient on site care and support yet allowing older people and vulnerable adults regardless of the level of need to be independent, enjoy an inclusive lifestyle and have their housing and care needs met in a holistic manner.
      
      For West Berkshire Council, Extra Care housing means accommodation that provides enhanced care and support for older people and vulnerable adults who have increased care needs within the safety and security of supported accommodation that is accessible and adaptable for the future. 
      
      This  is for the provision of a care and support service for people living in Extra Care Housing in the following schemes:
      
      Lot 1  Audrey Needham House and Redwood House
      Lot 2  Alice Bye Court",,"RG14 5LD","South East","85000000 85310000 85311000 85300000 ","Rebecca Page",Rebecca.Page1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+44 1635 519166",,,,,01/10/2023,30/09/2028,20/03/2023,NO,,No,No,No,Services,7100000,0,11/02/2025,7100000,"[Care Outlook Ltd|168 Church Road, 2-10 Laurel Grove, Hove, East Sussex, United Kingdom, BN3 2DL|NONE||No|No]",,01/10/2023,30/09/2028,"Open ",,12:00
"IT-402-1089-P00001089 - AWARD",Contract,"West Berkshire Council",Awarded,2025-02-11T12:33:08Z,"Provision for a Care and Support Service - Extra Care Housing Lot 2 - AWARD","Extra care housing is designed with the needs of people whose disabilities, frailty, vulnerability or health needs make ordinary housing unsuitable, but who do not need to or want to move to long term residential care. Older people make up the majority of tenants in WBC Extra care housing schemes although there are some vulnerable younger adults that benefit from living in the schemes.
      
      Extra care housing should provide a real alternative to a residential care home provision and or unsuitable housing and should be seen as a home for life. It provides accommodation that has sufficient on site care and support yet allowing older people and vulnerable adults regardless of the level of need to be independent, enjoy an inclusive lifestyle and have their housing and care needs met in a holistic manner.
      
      For West Berkshire Council, Extra Care housing means accommodation that provides enhanced care and support for older people and vulnerable adults who have increased care needs within the safety and security of supported accommodation that is accessible and adaptable for the future. 
      
      This is for the provision of a care and support service for people living in Extra Care Housing in the following schemes:
      Lot 2 Alice Bye Court
      
      This contract has previously been advertised on In-tend, Find a Tender and Contracts Finder. Please note there has been an amendment to the wording around the ceiling rate in the ITT and Pricing Schedule documents uploaded as part of this tender along with an updated Selection Questionnaire document.",,"RG14 5LD","Any region","85000000 85311000 85312000 85300000 ","Rebecca Page",Rebecca.Page1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+44 1635 519166",,,,,01/10/2023,30/09/2030,03/07/2023,NO,,No,No,No,Services,0,0,28/07/2023,3570000,"[Housing 21|10th Floor, Tricorn House , 51-53 Hagley Road  , Birmingham , United Kingdom, B16 8TP|NONE||No|No]",,01/10/2023,30/09/2030,"Open ",,17:00
"IT-402-1432-P00001432 - AWARD",Contract,"West Berkshire Council",Awarded,2025-02-11T12:12:28Z,"Adult Homeless Accommodation Service  - AWARD","To provide supported accommodation for homeless people with support needs referred by West Berkshire Council Housing Department. Some service users may have been involved in the criminal justice system. The aim is to assist licensees in acquiring daily living skills to enable them to transition to independent accommodation.",,"RG14 5LD","Any region","85311000 70333000 85310000 ","Thomas Bailey",thomas.bailey@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+44 1635519021",,,,,01/04/2025,01/04/2030,23/09/2024,NO,,No,No,No,Services,320000,360000,31/01/2025,2500000,"[Two Saints Ltd|Fareham House, 69 High Street, Fareham, Hampshire, United Kingdom, PO16 7BB|NONE||No|No]",,01/04/2025,01/04/2030,"Open ",,16:30
P00001173,Contract,"West Berkshire Council",Awarded,2023-09-13T11:32:25+01:00,"Sexual Assault Counselling and Support Services","West Berkshire Council are looking to commission a trainer, consultancy company or organisation to provide a counselling and specialist support service for anyone who has experienced any form of sexual assault. To view our Request for Quotation and the full specification, please register on our e-Procurement portal as per the following link:

 

https://in-tendhost.co.uk/westberks/aspx/Home",,RG145LD,,"85100000 85312300 85312310 85312320 85323000 ","Kayan Ko",Kayan.Ko1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,07836705368,https://in-tendhost.co.uk/westberks/aspx/Home,,,,04/09/2023,31/08/2028,23/08/2023,NO,,Yes,Yes,No,Services,75000,,04/09/2023,75000,"[Trust House Reading|54 London Street 
RG14SQ|COMPANIES_HOUSE|1174926|Yes|No]",,04/09/2023,31/08/2028,"OpenNonOJEU ",,12:00
P00000897,Contract,"West Berkshire Council",Awarded,2022-11-22T11:54:36Z,"'Be Well this Winter' A Winter Resilience Highly Targeted Outreach Service","West Berkshire Council are seeking to commission an organisation to deliver a targeted winter resilience outreach service covering the following areas; health protection, cardio-vascular disease prevention, staying well during winter and the increased costs of living. 

To view our Invitation to Quote and the full specification, please register on our e-Procurement portal as per the following link:

https://in-tendhost.co.uk/westberks/aspx/Home",,"RG14 5LD",,"75122000 75200000 85323000 ","Emma Richardson",emma.richardson1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,01635503434,https://in-tendhost.co.uk/westberks/aspx/Home,,,,22/11/2022,28/02/2023,16/11/2022,NO,,Yes,Yes,No,Services,0,56550,21/11/2022,54908,"[SOLUTIONS 4 HEALTH LTD|Unit 1, Thames Court,2 Richfield Avenue
READING
Berkshire
RG1 8EQ
GB|COMPANIES_HOUSE|06475161|No|No]",,22/11/2022,28/02/2023,"OpenNonOJEU ",,12:00
"EC09/01/2422 (21)",Contract,"SOUTHAMPTON CITY COUNCIL",Awarded,2021-04-27T09:19:20+01:00,"Framework Agreement for the Placement of Children and Young People with Independent Fostering Agencies - 4th Anniversary Re-opening","This is a notice for social and specific services in accordance with Directive 2014/24/EU Article 74 to deliver Fostering services. Thirteen (13) local authorities: Southampton City Council, Portsmouth City Council, Oxfordshire County Council, Bournemouth Christchurch & Poole Council, Dorset Council, Isle of Wight Council, Surrey County Council, Reading Borough Council, Slough Children's Services Trust, Wokingham Borough Council, Bracknell Forest Council, the Royal Borough of Windsor and Maidenhead and West Berkshire Council, (thereby referred to as The Councils) are working together to improve placement choice and quality for the children and young people they look after. In order to improve placement choice and quality, the Councils wish to work in partnership with a number of providers who can demonstrate that they have the ability to deliver high quality independent foster care services, and work in partnership to ensure a range of placements are available based within or near the Councils boundaries.",,,"South East,South West","85311300 ","Maria Benkharmaz",Maria.Benkharmaz@southampton.gov.uk,"Civic Centre,Civic Centre Road",,SOUTHAMPTON,SO147LY,England,"023 8083 3635",https://supplysouthampton.esourcingportal.com,"Registration Information for Curtis Fitch July .pptx ","https://supplysouthampton.esourcingportal.com/index.cfm ","The Councils that are part of this consortium are subject to the provisions of the Freedom of Information Act 2000 and the Environmental Information Regulations 2004 (the Information Acts) and all correspondence received from Bidders maybe subject to disclosure in accordance with the Information Acts. If any tenderer considers that any of the information it submits to the Councils is exempt from disclosure under the Information Acts then this should be stated in writing at the time the information is supplied together with the reason for considering it exempt. On receipt of an information request relating to the information considered exempt the Councils will, where reasonably practicable, consult with the relevant tenderer in considering any request for disclosure before disclosing such information. This notice is advising of the outcome of the anniversary reopening in 2020 when the Framework Agreement for the Provision of Independent Fostering Agency Services, Reference Number: EC09/01/2422 was re-advertised.",01/04/2021,31/03/2022,14/12/2020,NO,,Yes,Yes,No,Services,55100952,,26/03/2021,55100952,"[Affinity Fostering Services Ltd|North Wing Ingatestone Hall, Hall Lane, Ingatestone, Essex, CM49NR.|COMPANIES_HOUSE|8581558|Yes|No][Be My Family Fostering Agency Ltd|11 St Albans Ave, Feltham, London, TW13 6RL.|COMPANIES_HOUSE|6685902|Yes|No][Connect Fostering Services Ltd|Connect House, 16 College Ave, Harrow Wealdstone, HA3 6HB|COMPANIES_HOUSE|8392273|Yes|No][Fostering Innovations|Room No. 519 & 520, The Atrium, 1 Harefield Road, Uxbridge, UB8 1EX.|COMPANIES_HOUSE|9211399|Yes|No][Help Me Grow Fostering|Annerley Town Hall, Annerley Road, Annerley, London, SE20 8BD.|COMPANIES_HOUSE|8789007|Yes|No][Silver Lining Fostering Ltd|The Vista Centre, 50 Salisbury Road, Hounslow, TW4 6JQ.|COMPANIES_HOUSE|11087540|Yes|No][Time Out Fostering|13 South Street, Lancing, BN15 8AE.|COMPANIES_HOUSE|5239451|Yes|No][Compass Fostering West Limited|Mountfields House, Off Squirrel Way, Epinal Way, Loughborough, LE11 3GE.|COMPANIES_HOUSE|5975556|No|No]",,01/04/2021,31/03/2022,"OpenOJEU ",,23:00
"IT-402-1044-P00001044 - AWARD",Contract,"West Berkshire",Awarded,2024-05-10T12:38:07+01:00,"Local Bus Services Network (West Berkshire) 2024-2032 - AWARD","West Berkshire Council are seeking to engage a service operator to run their network of local bus services.  This will include provision of vehicles, depot, associated maintenance and drivers.  The operator will take complete responsibility for all service operation, vehicle supply and maintenance, driver qualifications / compliance and associated depot costs.
      
      The project will use a competitive procedure with negotiation process and full details on the requirements including stages and related timeline are available to download from the In-tend portal - https://in-tendhost.co.uk/westberks.
      
      Please note the Selection stage requires completion and return of the supplier questionnaire only.
      Full responses will only be required at the ITT stage.",,"RG14 5LD","South East","60112000 ","Elizabeth Martin",Elizabeth.Martin@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,01635519674,,,,,05/09/2024,04/09/2032,25/07/2023,NO,,No,No,No,Services,6000000,8000000,05/01/2024,9277640.32,"[Newbury & District Ltd|169 Greenham Business Park, 169 Greenham Business Park, Thatcham, Berkshire, United Kingdom, RG19 6HN|NONE||No|No]",,05/09/2024,04/09/2032,"Negotiated ",,12:00
"IT-402-1365-P00001365 - AWARD",Contract,"West Berkshire",Awarded,2024-07-18T14:59:55+01:00,"Commercialisation of Shaw House - AWARD","Shaw House is one of a small number of heritage assets owned by West Berkshire Council (WBC). It is currently used for internal meetings, public events, conferences, and wedding ceremonies. 
      The Council now wishes to explore further commercial uses for the site so that it can become a net contributor to the Council's budget and is looking to commission a Provider to carry out a piece of consultancy work in relation to the commercialisation of Shaw House.
      
      It is anticipated that this service will run from July-August 2024. The total budget for this service is £15,000 and bids for this service should not exceed this amount.",,"RG14 5LD","Any region","72221000 79411100 ","Emma Richardson",Emma.Richardson1@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","01635 503434",,,,,15/07/2024,30/09/2024,21/06/2024,NO,,No,No,No,Services,0,0,15/07/2024,14857.5,"[Tricolor Limited|3 Wellbrook Court, Girton, Cambridge, Cambridgeshire, United Kingdom, CB3 0NA|NONE||No|No]",,15/07/2024,30/09/2024,"Open ",,12:01
"IT-402-949-P00000949 - AWARD",Contract,"West Berkshire",Awarded,2023-09-19T15:31:38+01:00,"Pump Track at Northcroft and Goldwell Parks, Newbury - AWARD","West Berkshire Council is seeking to improve an existing dirt bike track by converting it into a multi-use tarmac pump track. The council is inviting specialist suppliers to tender for this re-generation project.
      
      The Council is tendering a contract for a Pump Track at Northcroft and Goldwell Park. The full scope as outlined in the specification.",,"RG14 5LD","South East","45112723 45000000 45210000 37535200 43325000 ","Vicky Pearce",Vicky.Pearce@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"01635 503961",,,,,07/08/2023,29/09/2023,06/02/2023,NO,,Yes,No,No,Works,0,0,24/03/2023,112700,"[Four One Four Ltd|279 Ugg Mere Court Road, Ramsey Heights, Huntingdon, CAMBS, United Kingdom, PE26 2RJ|NONE||No|No]",,07/08/2023,29/09/2023,"Open ",,14:00
"IT-402-1172-P00001172 - AWARD",Contract,"West Berkshire",Awarded,2024-03-13T11:09:50Z,"Local Authority Housing Fund - Refurbishment of Multiple Properties - AWARD","West Berkshire Council are looking to appoint a contractor to carry out all necessary refurbishment works and to issue Landlords safety certification to multiple newly acquired properties to bring them to a lettable standard.",,"RG14 5LD","South East","45000000 45453100 ","Gary Clarke",Gary.Clarke1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,01635519061,,,,,20/10/2023,19/10/2024,05/09/2023,NO,,Yes,No,No,Works,0,440000,13/10/2023,8254,"[ODS Group|Cowley Marsh Depot, Marsh Road, Oxford, Oxfordshire, United Kingdom, OX 4 2HH|NONE||No|No]",,20/10/2023,19/10/2024,"Open ",,11:00
"IT-402-925-P00000925 - AWARD",Contract,"West Berkshire",Awarded,2023-07-18T11:07:47+01:00,"Building Maintenance Measured Term Contract - AWARD","West Berkshire Council are looking to procure a contractor to deliver building repairs and maintenance, for a period of 3 years with the option to extend up to 2 years.
      The contract will cover reactive and minor repairs and maintenance for building fabric related issues and low level electrical and plumbing.
      The anticipated start date is 1st May 2023.",,"RG14 5LD","South East","50000000 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,01/05/2023,30/04/2026,23/12/2022,NO,,No,No,No,Works,0,0,28/03/2023,4200000,"[Beard Construction|Faraday Road, Dorcan, Swindon, Wiltshire, United Kingdom, SN3 5JY|NONE||No|No]",,01/05/2023,30/04/2026,"Open ",,11:00
"IT-402-864-P00000864 - AWARD",Contract,"West Berkshire",Awarded,2023-06-26T14:36:13+01:00,"North and East Thatcham Flood Alleviation Schemes - AWARD","*This is the pre-qualification stage of a 2 stage tender process* 
      
      West Berkshire Council are looking to procure the main contractor for the provision of three flood alleviation schemes - East Thatcham North of Bath Road, North Thatcham Bowling Green Road and North Thatcham Heath Lane. 
      
      Bidders must ONLY complete the SQPAS91 Document for this first stage. Bidders who are successful at pre-qualification stage will be invited to tender for the contract.
      
      Please note the ITT documents have been included but are for reference ONLY and should not be submitted during this first stage tender.
      
      Works comprise of the following:
      
      The works at each of the locations consists of diverting flows from an existing watercourse and direct the flow into a new attenuation basin and discharge via a flow control back into the watercourse. The works include a maintenance track at each location which is linked to a S278 junction onto the public highway, constructed in advance of this contract.",,"RG14 5LD","Any region","45246400 45262640 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","'+441635 503218",,,,,27/03/2023,22/12/2023,10/10/2022,NO,,No,No,No,Works,0,0,01/02/2023,1653817.6,"[Hope & Clay (Construction) Ltd|Synergy, Benyon Road, Silchester, Berks, United Kingdom, RG7 2PQ|NONE||No|No]",,27/03/2023,22/12/2023,"Restricted ",,11:00
"IT-402-634-P00000634 - AWARD",Contract,"West Berkshire",Awarded,2022-03-04T17:02:27Z,"Building Condition and Measured Surveys - AWARD","To better understand its property portfolio and plan its property strategy West Berkshire Council is to seek a quotation to undertake a 3 year programme of condition and building measured surveys on some of its building stock. The data will then be used to help determine the authority's maintenance priorities and programmes.",,"RG14 5LD","Any region","71315300 71251000 71324000 ","Vickie Collins",vickie.collins@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 503218",,,,,01/04/2022,31/03/2025,11/02/2022,NO,,No,No,No,Services,0,0,04/03/2022,44405,"[Easton Bevins|Unit 26, Hawkfield Way, Bristol, United Kingdom, BS14 0BB|NONE||No|No]",,01/04/2022,31/03/2025,"Open ",,11:00
"IT-402-551-P00000551 - AWARD",Contract,"West Berkshire",Awarded,2022-01-17T10:21:41Z,"Supply and installation of a Multiplay unit at the Almond Avenue play area in Newbury - AWARD","West Berkshire Council are seeking quotations for the supply and installation of a replacement multiplay unit to stand on the current footprint at the Almond Avenue play area, plus rubber mulch/wetpour surfacing. 
      
      Documents to be completed and returned include: Tender submission (as detailed in brief), Pricing Schedule, Selection Questionnaire, and Reference forms.
      
      The Evaluation Matrix is attached for information.  Tender submissions are to be evaluated 75% on Quality and 25% on Price.",,"RG14 5LD","South East","37535200 43325000 ","Procurement  Department",procurement@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","01635 519364",,,,,17/01/2022,27/05/2022,26/11/2021,NO,,No,No,No,Works,0,0,14/01/2022,80451.97,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse Lane East, Egham, Surrey, United Kingdom, TW20 8PG|NONE||No|No]",,17/01/2022,27/05/2022,"NotApplicable ",,12:00
P00000755,Contract,"West Berkshire Council",Awarded,2022-08-09T17:08:15+01:00,"Active Travel Capabilities Fund: Promoting Walking in West Berkshire","West Berkshire District Council (the Council) is seeking to commission an organisation (the Provider) with expertise in the area of creating digital maps that can be used by individuals for walking and cycling routes, and ensuring that all such material is accessible to all and conscious of differences in abilities when walking/cycling. The Council would like to commission such a Provider to lead on a project which would refresh existing walking/cycling route maps, based in West Berkshire, into digital and PDF forms. 

The fundamental work which the Council is seeking to be delivered is as follows:
•	Refresh and/or create (depending on the need of the specific route) 8-15 maps of walking/cycling routes within West Berkshire. This is to be in PDF form with digital counterparts available;
•	To create a set of marketing assets based on the above refreshed maps, that the Council can use to promote the new assets to the residents of West Berkshire

To view our Invitation to Quote and the full specification, please register on our e-Procurement portal as per the following link:

https://in-tendhost.co.uk/westberks/aspx/Home",,RG145LD,,"03110000 48326100 71354100 73200000 79342000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",https://in-tendhost.co.uk/westberks/aspx/Home,,,,15/08/2022,31/03/2023,20/07/2022,NO,,Yes,Yes,No,Services,0,16050,09/08/2022,14600,"[GROUNDWORK LONDON|18-21 Morley Street
LONDON
SE1 7QZ
GB|COMPANIES_HOUSE|04212532|No|No]",,09/08/2022,31/03/2023,"OpenNonOJEU ",,12:00
